stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,location_type,parent_station,wheelchair_boarding,stop_timezone
73637,164th Ave NE & NE 80th St,47.674488,-122.121521,,,19,,,,America/Los_Angeles
73638,164th Ave NE & NE 83rd St,47.676395,-122.121712,,,19,,,,America/Los_Angeles
73680,NE 80th St & 132nd Ave NE,47.675400,-122.164673,,,19,,,,America/Los_Angeles
73700,NE 80th St & 128th Ave NE,47.675388,-122.169060,,,19,,,,America/Los_Angeles
73710,NE 80th St & 126th Ave NE,47.675377,-122.172409,,,19,,,,America/Los_Angeles
73720,NE 80th St & 124th Ave NE,47.675381,-122.174210,,,19,,,,America/Los_Angeles
73722,NE 80th St & 122nd Ave NE,47.675427,-122.176529,,,19,,,,America/Los_Angeles
73724,NE 80th St & 120th Ave NE,47.675522,-122.181084,,,19,,,,America/Los_Angeles
73730,124th Ave NE & NE 80th Way,47.677712,-122.175850,,,19,,,,America/Los_Angeles
73744,116th Ave NE & NE 75th Pl,47.674068,-122.184868,,,19,,,,America/Los_Angeles
73745,116th Ave NE & NE 75th St,47.671967,-122.185738,,,19,,,,America/Los_Angeles
73757,NE 85th St & 161st Ave NE,47.678459,-122.126465,,,19,,,,America/Los_Angeles
73758,NE 85th St & 160th Ave NE,47.678616,-122.128014,,,19,,,,America/Los_Angeles
7380,Stone Way N & N 40th St,47.655144,-122.342560,,,1,,,,America/Los_Angeles
73812,Kirkland TC - Bay 1,47.676300,-122.203323,,,19,,,,America/Los_Angeles
73814,Kirkland TC - Bay 2,47.676823,-122.203346,,,19,,,,America/Los_Angeles
73816,Kirkland TC - Bay 3,47.675854,-122.203468,,,19,,,,America/Los_Angeles
73818,Kirkland TC - Bay 4,47.676518,-122.203552,,,19,,,,America/Los_Angeles
7382,Stone Way N & N 38th St,47.652451,-122.342697,,,1,,,,America/Los_Angeles
73840,NE 85th St & 120th Ave NE,47.679192,-122.180069,,,19,,,,America/Los_Angeles
73845,NE 85th St & 126th Ave NE,47.679291,-122.173225,,,19,,,,America/Los_Angeles
