"","Offense Type","Offense Description","Date Reported","Month","Year","Longitude","Latitude"
"268","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.337593079,47.611206055
"269","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.337593079,47.611206055
"270","ASSLT-NONAGG","Assault",NA,2,2018,-122.334190369,47.594039917
"271","BURGLARY-NOFORCE-NONRES","Burglary",NA,2,2018,-122.337593079,47.611206055
"272","ASSLT-NONAGG","Assault",NA,2,2018,-122.334190369,47.594039917
"273","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.343345642,47.705963135
"274","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.343345642,47.705963135
"275","ASSLT-AGG-WEAPON","Assault",NA,2,2018,-122.343345642,47.705963135
"276","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.332038879,47.613525391
"277","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.332038879,47.613525391
"278","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.332038879,47.613525391
"279","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.339759827,47.606868744
"280","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.339759827,47.606868744
"281","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"282","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"283","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"284","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"285","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"286","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"287","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.313911438,47.619960785
"288","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.313911438,47.619960785
"289","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.327255249,47.66078949
"290","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.337120056,47.625988007
"291","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.337120056,47.625988007
"292","THEFT-BUILDING","Other property",NA,2,2018,-122.320335388,47.599185944
"293","THEFT-BUILDING","Other property",NA,2,2018,-122.320335388,47.599185944
