"","lat","lon","route_id","agency"
"355",47.690445,-122.336601,"Route 45","Metro Transit"
"356",47.690579,-122.336769,"Route 45","Metro Transit"
"357",47.690609,-122.341194,"Route 45","Metro Transit"
"358",47.690624,-122.344162,"Route 45","Metro Transit"
"359",47.690647,-122.350266,"Route 45","Metro Transit"
"360",47.664135,-122.313187,"Route 45","Metro Transit"
"361",47.662281,-122.313217,"Route 45","Metro Transit"
"362",47.659847,-122.313271,"Route 45","Metro Transit"
"363",47.656864,-122.313354,"Route 45","Metro Transit"
"364",47.653393,-122.313065,"Route 45","Metro Transit"
"365",47.657387,-122.313133,"Route 45","Metro Transit"
"366",47.659767,-122.313065,"Route 45","Metro Transit"
"367",47.662067,-122.313011,"Route 45","Metro Transit"
"368",47.650875,-122.304581,"Route 45","Metro Transit"
"369",47.65937,-122.312096,"Route 48","Metro Transit"
"370",47.656422,-122.312164,"Route 48","Metro Transit"
"371",47.655048,-122.312195,"Route 48","Metro Transit"
"372",47.658668,-122.311905,"Route 48","Metro Transit"
"373",47.59671,-122.302124,"Route 48","Metro Transit"
"374",47.599693,-122.302139,"Route 48","Metro Transit"
"375",47.601894,-122.302292,"Route 48","Metro Transit"
"376",47.6059,-122.302887,"Route 48","Metro Transit"
"377",47.601257,-122.302361,"Route 48","Metro Transit"
"378",47.59906,-122.30233,"Route 48","Metro Transit"
"379",47.607712,-122.302879,"Route 48","Metro Transit"
"380",47.644016,-122.304268,"Route 48","Metro Transit"
"381",47.644924,-122.30439,"Route 48","Metro Transit"
"382",47.652245,-122.311211,"Route 48","Metro Transit"
"383",47.64069,-122.30217,"Route 48","Metro Transit"
"384",47.64296,-122.302948,"Route 48","Metro Transit"
"385",47.649143,-122.30497,"Route 48","Metro Transit"
"386",47.637692,-122.30162,"Route 48","Metro Transit"
"387",47.634998,-122.301674,"Route 48","Metro Transit"
"388",47.632168,-122.301712,"Route 48","Metro Transit"
"389",47.629044,-122.301773,"Route 48","Metro Transit"
"390",47.626583,-122.302498,"Route 48","Metro Transit"
"391",47.624985,-122.302521,"Route 48","Metro Transit"
"392",47.622936,-122.302559,"Route 48","Metro Transit"
"393",47.62117,-122.302589,"Route 48","Metro Transit"
"394",47.623379,-122.302361,"Route 48","Metro Transit"
"395",47.625336,-122.302315,"Route 48","Metro Transit"
"396",47.627014,-122.302292,"Route 48","Metro Transit"
"397",47.629467,-122.301567,"Route 48","Metro Transit"
"398",47.632778,-122.301514,"Route 48","Metro Transit"
"399",47.635132,-122.301468,"Route 48","Metro Transit"
"400",47.6381,-122.301483,"Route 48","Metro Transit"
"401",47.640152,-122.301979,"Route 48","Metro Transit"
"402",47.643097,-122.302849,"Route 48","Metro Transit"
"403",47.649727,-122.305817,"Route 48","Metro Transit"
"404",47.652351,-122.311089,"Route 48","Metro Transit"
"405",47.655708,-122.311974,"Route 48","Metro Transit"
"406",47.61993,-122.30262,"Route 48","Metro Transit"
"407",47.620602,-122.302399,"Route 48","Metro Transit"
"408",47.61512,-122.302757,"Route 48","Metro Transit"
"409",47.612698,-122.302826,"Route 48","Metro Transit"
"410",47.595326,-122.302315,"Route 48","Metro Transit"
"411",47.591621,-122.302505,"Route 48","Metro Transit"
"412",47.588051,-122.302696,"Route 48","Metro Transit"
"413",47.585739,-122.302834,"Route 48","Metro Transit"
"414",47.588604,-122.302483,"Route 48","Metro Transit"
"415",47.591843,-122.302383,"Route 48","Metro Transit"
"416",47.593521,-122.302139,"Route 48","Metro Transit"
"417",47.606316,-122.302689,"Route 48","Metro Transit"
"418",47.608246,-122.302673,"Route 48","Metro Transit"
"419",47.613281,-122.302605,"Route 48","Metro Transit"
"420",47.616734,-122.302505,"Route 48","Metro Transit"
"421",47.577591,-122.297127,"Route 48","Metro Transit"
"422",47.581196,-122.300201,"Route 48","Metro Transit"
"423",47.583931,-122.302315,"Route 48","Metro Transit"
"424",47.583733,-122.302383,"Route 48","Metro Transit"
"425",47.580791,-122.300133,"Route 48","Metro Transit"
"426",47.613415,-122.332138,"Route 49","Metro Transit"
"427",47.613377,-122.332603,"Route 49","Metro Transit"
"428",47.662281,-122.315475,"Route 49","Metro Transit"
"429",47.661205,-122.313477,"Route 49","Metro Transit"
"430",47.65937,-122.312096,"Route 49","Metro Transit"
"431",47.656422,-122.312164,"Route 49","Metro Transit"
"432",47.650093,-122.321999,"Route 49","Metro Transit"
"433",47.649704,-122.322205,"Route 49","Metro Transit"
"434",47.646759,-122.322205,"Route 49","Metro Transit"
"435",47.642937,-122.32016,"Route 49","Metro Transit"
"436",47.641163,-122.32016,"Route 49","Metro Transit"
"437",47.637028,-122.320183,"Route 49","Metro Transit"
"438",47.632126,-122.320305,"Route 49","Metro Transit"
"439",47.628738,-122.32032,"Route 49","Metro Transit"
"440",47.625191,-122.320816,"Route 49","Metro Transit"
"441",47.622894,-122.321014,"Route 49","Metro Transit"
"442",47.620815,-122.320992,"Route 49","Metro Transit"
"443",47.618538,-122.320946,"Route 49","Metro Transit"
"444",47.616192,-122.320923,"Route 49","Metro Transit"
"445",47.615303,-122.321495,"Route 49","Metro Transit"
"446",47.615295,-122.324776,"Route 49","Metro Transit"
"447",47.611767,-122.336456,"Route 49","Metro Transit"
"448",47.615299,-122.327271,"Route 49","Metro Transit"
"449",47.61515,-122.325256,"Route 49","Metro Transit"
"450",47.615162,-122.321617,"Route 49","Metro Transit"
"451",47.620155,-122.320786,"Route 49","Metro Transit"
"452",47.622196,-122.320816,"Route 49","Metro Transit"
"453",47.611103,-122.338028,"Route 49","Metro Transit"
"454",47.624611,-122.320839,"Route 49","Metro Transit"
"455",47.628861,-122.320114,"Route 49","Metro Transit"
"456",47.632214,-122.320099,"Route 49","Metro Transit"
"457",47.636162,-122.319992,"Route 49","Metro Transit"
"458",47.641571,-122.319969,"Route 49","Metro Transit"
"459",47.643261,-122.320747,"Route 49","Metro Transit"
"460",47.64711,-122.321999,"Route 49","Metro Transit"
"461",47.658668,-122.311905,"Route 49","Metro Transit"
"462",47.661346,-122.313889,"Route 49","Metro Transit"
"463",47.610134,-122.336685,"Route 49","Metro Transit"
"464",47.599129,-122.328041,"Route 49","Metro Transit"
"465",47.599266,-122.322327,"Route 49","Metro Transit"
"466",47.599262,-122.32547,"Route 49","Metro Transit"
"467",47.599266,-122.328384,"Route 49","Metro Transit"
"468",47.601734,-122.330116,"Route 49","Metro Transit"
"469",47.59927,-122.317757,"Route 49","Metro Transit"
"470",47.601959,-122.31797,"Route 49","Metro Transit"
"471",47.60545,-122.320648,"Route 49","Metro Transit"
"472",47.610157,-122.320663,"Route 49","Metro Transit"
"473",47.612896,-122.320679,"Route 49","Metro Transit"
"474",47.615166,-122.320702,"Route 49","Metro Transit"
"475",47.61414,-122.320885,"Route 49","Metro Transit"
"476",47.612713,-122.320885,"Route 49","Metro Transit"
"477",47.609909,-122.320869,"Route 49","Metro Transit"
"478",47.605385,-122.320854,"Route 49","Metro Transit"
"479",47.601864,-122.318123,"Route 49","Metro Transit"
"480",47.60825,-122.336548,"Route 49","Metro Transit"
"481",47.604996,-122.333572,"Route 49","Metro Transit"
"482",47.602234,-122.331047,"Route 49","Metro Transit"
"483",47.600239,-122.330376,"Route 49","Metro Transit"
"484",47.604191,-122.332588,"Route 49","Metro Transit"
"485",47.607052,-122.335213,"Route 49","Metro Transit"
"486",47.609642,-122.337585,"Route 49","Metro Transit"
"487",47.6563,-122.31546,"Route 49","Metro Transit"
"488",47.655766,-122.318504,"Route 49","Metro Transit"
"489",47.655922,-122.31398,"Route 49","Metro Transit"
"490",47.661781,-122.316467,"Route 49","Metro Transit"
"491",47.624035,-122.334457,"Route 63","Metro Transit"
"492",47.620586,-122.334435,"Route 63","Metro Transit"
"493",47.6175,-122.333817,"Route 63","Metro Transit"
"494",47.61842,-122.334198,"Route 63","Metro Transit"
"495",47.622276,-122.334229,"Route 63","Metro Transit"
"496",47.606068,-122.322029,"Route 63","Metro Transit"
"497",47.608227,-122.324013,"Route 63","Metro Transit"
